employee_id,department,week,projects_assigned,used_hours,effective_capacity,remaining_capacity,utilization_pct,capacity_exceeded
1,Hardware,1,1,40.2298,40.2298,0.0,100.0,False
2,Integration,1,1,39.6295,39.6295,0.0,100.0,False
3,Testing,1,2,36.0035,36.0035,0.0,100.0,False
4,Software,1,1,38.6965,38.6965,0.0,100.0,False
5,Software,1,1,38.3501,38.3501,0.0,100.0,False
6,Integration,1,2,38.6561,38.6561,0.0,100.0,False
7,Hardware,1,1,40.6143,40.6143,0.0,100.0,False
8,Testing,1,1,38.6708,38.6708,0.0,100.0,False
9,Hardware,1,2,40.0367,40.0367,0.0,100.0,False
10,Hardware,1,1,38.2027,38.2027,0.0,100.0,False
11,Testing,1,2,38.8674,38.8674,0.0,100.0,False
12,Integration,1,2,39.8939,39.8939,0.0,100.0,False
13,Testing,1,1,33.6285,33.6285,0.0,100.0,False
14,Integration,1,1,37.041,37.041,0.0,100.0,False
15,Testing,1,1,36.5889,36.5889,0.0,100.0,False
16,Integration,1,2,36.0834,36.0834,0.0,100.0,False
17,Testing,1,1,37.1746,37.1746,0.0,100.0,False
18,Hardware,1,2,42.0,42.0,0.0,100.0,False
19,Integration,1,1,35.4025,35.4025,0.0,100.0,False
20,Software,1,1,40.9048,40.9048,0.0,100.0,False
21,Testing,1,1,32.9514,32.9514,0.0,100.0,False
22,Software,1,1,36.9953,36.9953,0.0,100.0,False
23,Hardware,1,1,38.4883,38.4883,0.0,100.0,False
24,Integration,1,1,39.7587,39.7587,0.0,100.0,False
25,Integration,1,2,40.1337,40.1337,0.0,100.0,False
26,Testing,1,1,40.38,40.38,0.0,100.0,False
27,Software,1,1,36.9538,36.9538,0.0,100.0,False
28,Integration,1,1,36.6129,36.6129,0.0,100.0,False
29,Testing,1,1,40.5739,40.5739,0.0,100.0,False
30,Software,1,1,37.4261,37.4261,0.0,100.0,False
31,Software,1,2,34.1729,34.1729,0.0,100.0,False
32,Hardware,1,1,34.6001,34.6001,0.0,100.0,False
33,Hardware,1,2,35.2416,35.2416,0.0,100.0,False
34,Testing,1,1,39.4915,39.4915,0.0,100.0,False
35,Integration,1,1,38.4273,38.4273,0.0,100.0,False
36,Hardware,1,2,40.0715,40.0715,0.0,100.0,False
37,Integration,1,2,36.7182,36.7182,0.0,100.0,False
38,Integration,1,1,38.4756,38.4756,0.0,100.0,False
39,Software,1,2,39.8768,39.8768,0.0,100.0,False
40,Testing,1,1,37.072,37.072,0.0,100.0,False
41,Hardware,1,2,39.3703,39.3703,0.0,100.0,False
42,Integration,1,1,36.0142,36.0142,0.0,100.0,False
43,Testing,1,1,36.9108,36.9108,0.0,100.0,False
44,Software,1,1,36.8548,36.8548,0.0,100.0,False
45,Hardware,1,1,34.4125,34.4125,0.0,100.0,False
46,Integration,1,2,39.4609,39.4609,0.0,100.0,False
47,Software,1,1,36.5918,36.5918,0.0,100.0,False
48,Integration,1,1,38.0375,38.0375,0.0,100.0,False
49,Testing,1,1,39.4422,39.4422,0.0,100.0,False
50,Integration,1,1,39.3396,39.3396,0.0,100.0,False
51,Integration,1,1,39.9962,39.9962,0.0,100.0,False
52,Hardware,1,1,37.7045,37.7045,0.0,100.0,False
53,Software,1,1,36.7301,36.7301,0.0,100.0,False
54,Software,1,1,37.7608,37.7608,0.0,100.0,False
55,Software,1,1,32.938,32.938,0.0,100.0,False
56,Hardware,1,2,33.6587,33.6587,0.0,100.0,False
57,Testing,1,2,34.0319,34.0319,0.0,100.0,False
58,Hardware,1,1,35.0083,35.0083,0.0,100.0,False
59,Testing,1,2,39.1993,39.1993,0.0,100.0,False
60,Testing,1,2,35.2836,35.2836,0.0,100.0,False
61,Integration,1,1,36.8655,36.8655,0.0,100.0,False
62,Testing,1,2,41.8977,41.8977,0.0,100.0,False
63,Software,1,2,36.9312,36.9312,0.0,100.0,False
64,Integration,1,2,40.2125,40.2125,0.0,100.0,False
65,Software,1,1,35.1991,35.1991,0.0,100.0,False
66,Software,1,2,37.3837,37.3837,0.0,100.0,False
67,Integration,1,1,35.1499,35.1499,0.0,100.0,False
68,Software,1,2,36.9829,36.9829,0.0,100.0,False
69,Hardware,1,1,40.5209,40.5209,0.0,100.0,False
70,Software,1,2,32.818,32.818,0.0,100.0,False
71,Integration,1,1,39.3033,39.3033,0.0,100.0,False
72,Hardware,1,1,38.7132,38.7132,0.0,100.0,False
73,Software,1,1,36.2176,36.2176,0.0,100.0,False
74,Hardware,1,1,33.6618,33.6618,0.0,100.0,False
75,Testing,1,2,38.2164,38.2164,0.0,100.0,False
76,Software,1,2,36.4115,36.4115,0.0,100.0,False
77,Software,1,1,38.698,38.698,0.0,100.0,False
78,Hardware,1,1,38.0656,38.0656,0.0,100.0,False
79,Testing,1,2,42.0,42.0,0.0,100.0,False
80,Testing,1,1,37.2819,37.2819,0.0,100.0,False
1,Hardware,2,1,40.2298,40.2298,0.0,100.0,False
2,Integration,2,1,39.6295,39.6295,0.0,100.0,False
3,Testing,2,1,36.0035,36.0035,0.0,100.0,False
4,Software,2,2,38.6965,38.6965,0.0,100.0,False
5,Software,2,1,38.3501,38.3501,0.0,100.0,False
6,Integration,2,1,38.6561,38.6561,0.0,100.0,False
7,Hardware,2,1,40.6143,40.6143,0.0,100.0,False
8,Testing,2,1,38.6708,38.6708,0.0,100.0,False
9,Hardware,2,2,40.0367,40.0367,0.0,100.0,False
10,Hardware,2,2,38.2027,38.2027,0.0,100.0,False
11,Testing,2,1,38.8674,38.8674,0.0,100.0,False
12,Integration,2,1,39.8939,39.8939,0.0,100.0,False
13,Testing,2,2,33.6285,33.6285,0.0,100.0,False
14,Integration,2,1,37.041,37.041,0.0,100.0,False
15,Testing,2,2,36.5889,36.5889,0.0,100.0,False
16,Integration,2,2,36.0834,36.0834,0.0,100.0,False
17,Testing,2,1,37.1746,37.1746,0.0,100.0,False
18,Hardware,2,1,42.0,42.0,0.0,100.0,False
19,Integration,2,1,35.4025,35.4025,0.0,100.0,False
20,Software,2,1,40.9048,40.9048,0.0,100.0,False
21,Testing,2,1,32.9514,32.9514,0.0,100.0,False
22,Software,2,1,36.9953,36.9953,0.0,100.0,False
23,Hardware,2,1,38.4883,38.4883,0.0,100.0,False
24,Integration,2,1,39.7587,39.7587,0.0,100.0,False
25,Integration,2,1,40.1337,40.1337,0.0,100.0,False
26,Testing,2,1,40.38,40.38,0.0,100.0,False
27,Software,2,2,36.9538,36.9538,0.0,100.0,False
28,Integration,2,2,36.6129,36.6129,0.0,100.0,False
29,Testing,2,2,40.5739,40.5739,0.0,100.0,False
30,Software,2,1,37.4261,37.4261,0.0,100.0,False
31,Software,2,1,34.1729,34.1729,0.0,100.0,False
32,Hardware,2,2,34.6001,34.6001,0.0,100.0,False
33,Hardware,2,2,35.2416,35.2416,0.0,100.0,False
34,Testing,2,2,39.4915,39.4915,0.0,100.0,False
35,Integration,2,1,38.4273,38.4273,0.0,100.0,False
36,Hardware,2,1,40.0715,40.0715,0.0,100.0,False
37,Integration,2,1,36.7182,36.7182,0.0,100.0,False
38,Integration,2,2,38.4756,38.4756,0.0,100.0,False
39,Software,2,2,39.8768,39.8768,0.0,100.0,False
40,Testing,2,1,37.072,37.072,0.0,100.0,False
41,Hardware,2,1,39.3703,39.3703,0.0,100.0,False
42,Integration,2,1,36.0142,36.0142,0.0,100.0,False
43,Testing,2,2,36.9108,36.9108,0.0,100.0,False
44,Software,2,1,36.8548,36.8548,0.0,100.0,False
45,Hardware,2,2,34.4125,34.4125,0.0,100.0,False
46,Integration,2,1,39.4609,39.4609,0.0,100.0,False
47,Software,2,2,36.5918,36.5918,0.0,100.0,False
48,Integration,2,1,38.0375,38.0375,0.0,100.0,False
49,Testing,2,1,39.4422,39.4422,0.0,100.0,False
50,Integration,2,2,39.3396,39.3396,0.0,100.0,False
51,Integration,2,2,39.9962,39.9962,0.0,100.0,False
52,Hardware,2,2,37.7045,37.7045,0.0,100.0,False
53,Software,2,1,36.7301,36.7301,0.0,100.0,False
54,Software,2,2,37.7608,37.7608,0.0,100.0,False
55,Software,2,1,32.938,32.938,0.0,100.0,False
56,Hardware,2,1,33.6587,33.6587,0.0,100.0,False
57,Testing,2,1,34.0319,34.0319,0.0,100.0,False
58,Hardware,2,1,35.0083,35.0083,0.0,100.0,False
59,Testing,2,1,39.1993,39.1993,0.0,100.0,False
60,Testing,2,1,35.2836,35.2836,0.0,100.0,False
61,Integration,2,2,36.8655,36.8655,0.0,100.0,False
62,Testing,2,1,41.8977,41.8977,0.0,100.0,False
63,Software,2,1,36.9312,36.9312,0.0,100.0,False
64,Integration,2,1,40.2125,40.2125,0.0,100.0,False
65,Software,2,2,35.1991,35.1991,0.0,100.0,False
66,Software,2,1,37.3837,37.3837,0.0,100.0,False
67,Integration,2,1,35.1499,35.1499,0.0,100.0,False
68,Software,2,1,36.9829,36.9829,0.0,100.0,False
69,Hardware,2,1,40.5209,40.5209,0.0,100.0,False
70,Software,2,2,32.818,32.818,0.0,100.0,False
71,Integration,2,2,39.3033,39.3033,0.0,100.0,False
72,Hardware,2,1,38.7132,38.7132,0.0,100.0,False
73,Software,2,1,36.2176,36.2176,0.0,100.0,False
74,Hardware,2,1,33.6618,33.6618,0.0,100.0,False
75,Testing,2,2,38.2164,38.2164,0.0,100.0,False
76,Software,2,1,36.4115,36.4115,0.0,100.0,False
77,Software,2,1,38.698,38.698,0.0,100.0,False
78,Hardware,2,1,38.0656,38.0656,0.0,100.0,False
79,Testing,2,2,42.0,42.0,0.0,100.0,False
80,Testing,2,2,37.2819,37.2819,0.0,100.0,False
1,Hardware,3,2,40.2298,40.2298,0.0,100.0,False
2,Integration,3,1,39.6295,39.6295,0.0,100.0,False
3,Testing,3,2,36.0035,36.0035,0.0,100.0,False
4,Software,3,2,38.6965,38.6965,0.0,100.0,False
5,Software,3,1,38.3501,38.3501,0.0,100.0,False
6,Integration,3,2,38.6561,38.6561,0.0,100.0,False
7,Hardware,3,1,40.6143,40.6143,0.0,100.0,False
8,Testing,3,1,38.6708,38.6708,0.0,100.0,False
9,Hardware,3,1,40.0367,40.0367,0.0,100.0,False
10,Hardware,3,1,38.2027,38.2027,0.0,100.0,False
11,Testing,3,2,38.8674,38.8674,0.0,100.0,False
12,Integration,3,1,39.8939,39.8939,0.0,100.0,False
13,Testing,3,1,33.6285,33.6285,0.0,100.0,False
14,Integration,3,2,37.041,37.041,0.0,100.0,False
15,Testing,3,2,36.5889,36.5889,0.0,100.0,False
16,Integration,3,1,36.0834,36.0834,0.0,100.0,False
17,Testing,3,2,37.1746,37.1746,0.0,100.0,False
18,Hardware,3,2,42.0,42.0,0.0,100.0,False
19,Integration,3,1,35.4025,35.4025,0.0,100.0,False
20,Software,3,2,40.9048,40.9048,0.0,100.0,False
21,Testing,3,1,32.9514,32.9514,0.0,100.0,False
22,Software,3,2,36.9953,36.9953,0.0,100.0,False
23,Hardware,3,1,38.4883,38.4883,0.0,100.0,False
24,Integration,3,1,39.7587,39.7587,0.0,100.0,False
25,Integration,3,2,40.1337,40.1337,0.0,100.0,False
26,Testing,3,1,40.38,40.38,0.0,100.0,False
27,Software,3,1,36.9538,36.9538,0.0,100.0,False
28,Integration,3,1,36.6129,36.6129,0.0,100.0,False
29,Testing,3,2,40.5739,40.5739,0.0,100.0,False
30,Software,3,2,37.4261,37.4261,0.0,100.0,False
31,Software,3,1,34.1729,34.1729,0.0,100.0,False
32,Hardware,3,1,34.6001,34.6001,0.0,100.0,False
33,Hardware,3,1,35.2416,35.2416,0.0,100.0,False
34,Testing,3,2,39.4915,39.4915,0.0,100.0,False
35,Integration,3,1,38.4273,38.4273,0.0,100.0,False
36,Hardware,3,1,40.0715,40.0715,0.0,100.0,False
37,Integration,3,1,36.7182,36.7182,0.0,100.0,False
38,Integration,3,1,38.4756,38.4756,0.0,100.0,False
39,Software,3,1,39.8768,39.8768,0.0,100.0,False
40,Testing,3,1,37.072,37.072,0.0,100.0,False
41,Hardware,3,1,39.3703,39.3703,0.0,100.0,False
42,Integration,3,1,36.0142,36.0142,0.0,100.0,False
43,Testing,3,1,36.9108,36.9108,0.0,100.0,False
44,Software,3,1,36.8548,36.8548,0.0,100.0,False
45,Hardware,3,2,34.4125,34.4125,0.0,100.0,False
46,Integration,3,1,39.4609,39.4609,0.0,100.0,False
47,Software,3,1,36.5918,36.5918,0.0,100.0,False
48,Integration,3,1,38.0375,38.0375,0.0,100.0,False
49,Testing,3,2,39.4422,39.4422,0.0,100.0,False
50,Integration,3,1,39.3396,39.3396,0.0,100.0,False
51,Integration,3,2,39.9962,39.9962,0.0,100.0,False
52,Hardware,3,2,37.7045,37.7045,0.0,100.0,False
53,Software,3,1,36.7301,36.7301,0.0,100.0,False
54,Software,3,2,37.7608,37.7608,0.0,100.0,False
55,Software,3,1,32.938,32.938,0.0,100.0,False
56,Hardware,3,1,33.6587,33.6587,0.0,100.0,False
57,Testing,3,1,34.0319,34.0319,0.0,100.0,False
58,Hardware,3,2,35.0083,35.0083,0.0,100.0,False
59,Testing,3,1,39.1993,39.1993,0.0,100.0,False
60,Testing,3,1,35.2836,35.2836,0.0,100.0,False
61,Integration,3,2,36.8655,36.8655,0.0,100.0,False
62,Testing,3,1,41.8977,41.8977,0.0,100.0,False
63,Software,3,1,36.9312,36.9312,0.0,100.0,False
64,Integration,3,1,40.2125,40.2125,0.0,100.0,False
65,Software,3,2,35.1991,35.1991,0.0,100.0,False
66,Software,3,1,37.3837,37.3837,0.0,100.0,False
67,Integration,3,3,29.8774,29.8774,0.0,100.0,False
68,Software,3,1,36.9829,36.9829,0.0,100.0,False
69,Hardware,3,1,40.5209,40.5209,0.0,100.0,False
70,Software,3,1,32.818,32.818,0.0,100.0,False
71,Integration,3,1,39.3033,39.3033,0.0,100.0,False
72,Hardware,3,1,38.7132,38.7132,0.0,100.0,False
73,Software,3,1,36.2176,36.2176,0.0,100.0,False
74,Hardware,3,1,33.6618,33.6618,0.0,100.0,False
75,Testing,3,2,38.2164,38.2164,0.0,100.0,False
76,Software,3,1,36.4115,36.4115,0.0,100.0,False
77,Software,3,2,38.698,38.698,0.0,100.0,False
78,Hardware,3,2,38.0656,38.0656,0.0,100.0,False
79,Testing,3,1,42.0,42.0,0.0,100.0,False
80,Testing,3,1,37.2819,37.2819,0.0,100.0,False
1,Hardware,4,1,40.2298,40.2298,0.0,100.0,False
2,Integration,4,2,39.6295,39.6295,0.0,100.0,False
3,Testing,4,1,36.0035,36.0035,0.0,100.0,False
4,Software,4,1,38.6965,38.6965,0.0,100.0,False
5,Software,4,2,38.3501,38.3501,0.0,100.0,False
6,Integration,4,1,38.6561,38.6561,0.0,100.0,False
7,Hardware,4,2,40.6143,40.6143,0.0,100.0,False
8,Testing,4,2,38.6708,38.6708,0.0,100.0,False
9,Hardware,4,2,40.0367,40.0367,0.0,100.0,False
10,Hardware,4,1,38.2027,38.2027,0.0,100.0,False
11,Testing,4,2,38.8674,38.8674,0.0,100.0,False
12,Integration,4,2,39.8939,39.8939,0.0,100.0,False
13,Testing,4,1,33.6285,33.6285,0.0,100.0,False
14,Integration,4,1,37.041,37.041,0.0,100.0,False
15,Testing,4,1,36.5889,36.5889,0.0,100.0,False
16,Integration,4,2,36.0834,36.0834,0.0,100.0,False
17,Testing,4,1,37.1746,37.1746,0.0,100.0,False
18,Hardware,4,1,42.0,42.0,0.0,100.0,False
19,Integration,4,1,35.4025,35.4025,0.0,100.0,False
20,Software,4,2,40.9048,40.9048,0.0,100.0,False
21,Testing,4,1,32.9514,32.9514,0.0,100.0,False
22,Software,4,2,36.9953,36.9953,0.0,100.0,False
23,Hardware,4,2,38.4883,38.4883,0.0,100.0,False
24,Integration,4,1,39.7587,39.7587,0.0,100.0,False
25,Integration,4,1,40.1337,40.1337,0.0,100.0,False
26,Testing,4,1,40.38,40.38,0.0,100.0,False
27,Software,4,1,36.9538,36.9538,0.0,100.0,False
28,Integration,4,2,36.6129,36.6129,0.0,100.0,False
29,Testing,4,2,40.5739,40.5739,0.0,100.0,False
30,Software,4,1,37.4261,37.4261,0.0,100.0,False
31,Software,4,1,34.1729,34.1729,0.0,100.0,False
32,Hardware,4,1,34.6001,34.6001,0.0,100.0,False
33,Hardware,4,2,35.2416,35.2416,0.0,100.0,False
34,Testing,4,2,39.4915,39.4915,0.0,100.0,False
35,Integration,4,1,38.4273,38.4273,0.0,100.0,False
36,Hardware,4,1,40.0715,40.0715,0.0,100.0,False
37,Integration,4,1,36.7182,36.7182,0.0,100.0,False
38,Integration,4,1,38.4756,38.4756,0.0,100.0,False
39,Software,4,1,39.8768,39.8768,0.0,100.0,False
40,Testing,4,2,37.072,37.072,0.0,100.0,False
41,Hardware,4,2,39.3703,39.3703,0.0,100.0,False
42,Integration,4,1,36.0142,36.0142,0.0,100.0,False
43,Testing,4,1,36.9108,36.9108,0.0,100.0,False
44,Software,4,2,36.8548,36.8548,0.0,100.0,False
45,Hardware,4,1,34.4125,34.4125,0.0,100.0,False
46,Integration,4,1,39.4609,39.4609,0.0,100.0,False
47,Software,4,2,36.5918,36.5918,0.0,100.0,False
48,Integration,4,1,38.0375,38.0375,0.0,100.0,False
49,Testing,4,2,39.4422,39.4422,0.0,100.0,False
50,Integration,4,2,39.3396,39.3396,0.0,100.0,False
51,Integration,4,2,39.9962,39.9962,0.0,100.0,False
52,Hardware,4,1,37.7045,37.7045,0.0,100.0,False
53,Software,4,1,36.7301,36.7301,0.0,100.0,False
54,Software,4,1,37.7608,37.7608,0.0,100.0,False
55,Software,4,1,32.938,32.938,0.0,100.0,False
56,Hardware,4,1,33.6587,33.6587,0.0,100.0,False
57,Testing,4,2,34.0319,34.0319,0.0,100.0,False
58,Hardware,4,1,35.0083,35.0083,0.0,100.0,False
59,Testing,4,2,39.1993,39.1993,0.0,100.0,False
60,Testing,4,1,35.2836,35.2836,0.0,100.0,False
61,Integration,4,1,36.8655,36.8655,0.0,100.0,False
62,Testing,4,1,41.8977,41.8977,0.0,100.0,False
63,Software,4,2,36.9312,36.9312,0.0,100.0,False
64,Integration,4,1,40.2125,40.2125,0.0,100.0,False
65,Software,4,1,35.1991,35.1991,0.0,100.0,False
66,Software,4,1,37.3837,37.3837,0.0,100.0,False
67,Integration,4,2,35.1499,35.1499,0.0,100.0,False
68,Software,4,1,36.9829,36.9829,0.0,100.0,False
69,Hardware,4,1,40.5209,40.5209,0.0,100.0,False
70,Software,4,1,32.818,32.818,0.0,100.0,False
71,Integration,4,1,39.3033,39.3033,0.0,100.0,False
72,Hardware,4,2,38.7132,38.7132,0.0,100.0,False
73,Software,4,2,36.2176,36.2176,0.0,100.0,False
74,Hardware,4,1,33.6618,33.6618,0.0,100.0,False
75,Testing,4,1,38.2164,38.2164,0.0,100.0,False
76,Software,4,1,36.4115,36.4115,0.0,100.0,False
77,Software,4,1,38.698,38.698,0.0,100.0,False
